Site,Treatment,Date,Time_point,Species,Individual_nos,Trait_name,Trait_value,is_outlier
Ainsdale,CONT,23/05/2025,T1,MA,3,LDMC,0.2371428571428572,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,LWC,0.7628571428571428,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,EWT,0.016687499999999994,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,LMA,4.709677419354838,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,LDMC,0.21470588235294116,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,LWC,0.7852941176470588,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,EWT,0.017225806451612907,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,LMA,6.8316831683168315,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,LDMC,0.27599999999999997,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,LWC,0.7240000000000001,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,EWT,0.017920792079207923,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LMA,5.0892857142857135,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LDMC,0.2192307692307692,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LWC,0.7807692307692309,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,EWT,0.018125000000000002,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LMA,5.775862068965517,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LDMC,0.20303030303030303,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LWC,0.796969696969697,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,EWT,0.022672413793103446,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LMA,6.81818181818182,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LDMC,0.22500000000000003,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,LWC,0.775,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,EWT,0.023484848484848487,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LMA,5.462962962962962,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LDMC,0.22692307692307687,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LWC,0.7730769230769232,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,EWT,0.018611111111111113,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LMA,6.2025316455696204,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LDMC,0.175,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LWC,0.8250000000000001,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LMA,6.415094339622642,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LDMC,0.21250000000000002,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,LWC,0.7875,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,EWT,0.023773584905660377,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,LMA,5.048543689320389,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,LDMC,0.1485714285714286,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,LWC,0.8514285714285714,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,EWT,0.028932038834951455,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,LMA,5.465116279069767,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,LDMC,0.188,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,LWC,0.812,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,EWT,0.023604651162790702,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,LDMC,0.17368421052631577,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,6,LWC,0.8263157894736842,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LMA,4.975682753460531,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LDMC,0.28297872340425534,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LWC,0.7170212765957448,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,EWT,0.012607557052001499,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LMA,4.643962848297214,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LDMC,0.20454545454545459,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LWC,0.7954545454545454,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,EWT,0.01805985552115583,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LMA,5.014749262536874,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LDMC,0.2833333333333334,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,LWC,0.7166666666666667,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,EWT,0.012684365781710916,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,LMA,6.7924528301886795,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,LDMC,0.2571428571428572,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,LWC,0.7428571428571429,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,EWT,0.019622641509433963,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,LMA,6.728395061728395,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,LDMC,0.23191489361702128,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,LWC,0.7680851063829788,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,EWT,0.02228395061728395,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,LDMC,0.23720930232558143,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,LWC,0.7627906976744185,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,EWT,0.02827586206896552,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LMA,5.102040816326531,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LDMC,0.21551724137931033,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LWC,0.7844827586206896,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,EWT,0.018571428571428572,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LMA,5.630252100840337,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LDMC,0.22333333333333333,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LWC,0.7766666666666667,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,EWT,0.01957983193277311,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LMA,5.7391304347826075,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LDMC,0.264,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,LWC,0.736,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,EWT,0.015999999999999997,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,LMA,4.352941176470589,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,LDMC,0.185,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,LWC,0.8150000000000001,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,EWT,0.0191764705882353,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,EWT,0.007924528301886795,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,LMA,4.320987654320987,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,LDMC,0.18421052631578946,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,LWC,0.8157894736842105,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,EWT,0.019135802469135803,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,LMA,4.531250000000001,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,LDMC,0.23200000000000004,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,LWC,0.768,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,EWT,0.015000000000000003,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,LMA,4.7368421052631575,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,LMA,4.142857142857143,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,LDMC,0.22307692307692303,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,LWC,0.7769230769230769,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,EWT,0.014428571428571431,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LMA,5.471698113207547,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LDMC,0.15675675675675677,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LWC,0.8432432432432432,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LMA,4.901960784313726,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LDMC,0.16666666666666666,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LWC,0.8333333333333334,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,EWT,0.024509803921568627,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LMA,5.444444444444444,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LDMC,0.2333333333333333,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,LWC,0.7666666666666667,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,EWT,0.01788888888888889,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LMA,3.586956521739131,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LDMC,0.23913043478260876,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LWC,0.7608695652173912,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,EWT,0.01141304347826087,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LMA,3.9272727272727277,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LDMC,0.29189189189189185,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LWC,0.7081081081081081,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,EWT,0.009527272727272728,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LMA,3.9743589743589745,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LDMC,0.30563380281690133,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,LWC,0.6943661971830987,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,1,EWT,0.009029304029304032,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LMA,4.580645161290323,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LDMC,0.22903225806451616,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LWC,0.7709677419354838,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,EWT,0.015419354838709678,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LMA,3.282442748091603,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LDMC,0.2263157894736842,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LWC,0.7736842105263158,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,EWT,0.011221374045801525,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LMA,3.380281690140846,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LDMC,0.24000000000000005,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,LWC,0.76,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,2,EWT,0.010704225352112677,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LMA,5.606694560669457,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LDMC,0.268,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LWC,0.732,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,EWT,0.015313807531380758,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LMA,7.180851063829787,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LDMC,0.2755102040816327,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LWC,0.7244897959183674,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,EWT,0.018882978723404255,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LMA,7.430340557275542,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LDMC,0.26666666666666666,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,LWC,0.7333333333333334,FALSE
Ainsdale,CONT,11/07/2025,T3,MA,3,EWT,0.02043343653250774,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,4,LMA,5.403087478559177,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,4,LDMC,0.21724137931034482,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,4,LWC,0.7827586206896552,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,4,EWT,0.019468267581475133,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,4,LMA,5.919566199728875,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,4,LDMC,0.23818181818181822,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,4,LWC,0.7618181818181818,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,4,EWT,0.018933574333483957,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LMA,4.730831973898859,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LDMC,0.22745098039215683,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LWC,0.7725490196078432,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,EWT,0.01606851549755302,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LMA,5.272305909617612,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LDMC,0.20222222222222216,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LWC,0.7977777777777779,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,EWT,0.020799536500579377,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LMA,4.796264855687607,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LDMC,0.25111111111111106,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,LWC,0.7488888888888889,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,5,EWT,0.014303904923599325,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LMA,4.160324708269915,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LDMC,0.20500000000000002,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LWC,0.7949999999999999,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,EWT,0.016133942161339423,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LMA,4.606240713224368,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LDMC,0.2137931034482759,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LWC,0.7862068965517242,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,EWT,0.016939078751857354,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LMA,5.800214822771214,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LDMC,0.24545454545454548,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,LWC,0.7545454545454546,FALSE
Ainsdale,DIST,11/07/2025,T3,MA,6,EWT,0.017830290010741136,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,LDMC,0.1807635829662262,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,LWC,0.8192364170337738,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,LMA,17.028053411735883,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,LDMC,0.19015047879616964,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,LWC,0.8098495212038304,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,EWT,0.07252235697660174,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,LMA,16.602123672704558,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,LDMC,0.17418086500655308,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,LWC,0.825819134993447,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,1,EWT,0.07871330418488444,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LMA,23.346303501945528,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LDMC,0.24456521739130435,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LWC,0.7554347826086957,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,EWT,0.07211413748378731,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LMA,12.689655172413794,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LDMC,0.17002053388090346,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LWC,0.8299794661190965,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,EWT,0.06194636015325672,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LMA,21.231109472908223,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LDMC,0.20682226211849195,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,LWC,0.793177737881508,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,2,EWT,0.08142277921120532,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LMA,20.1206210701912,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LDMC,0.17402885682574917,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LWC,0.8259711431742509,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,EWT,0.09549595791094573,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LMA,14.211065573770494,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LDMC,0.21079027355623103,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LWC,0.789209726443769,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,EWT,0.053206967213114756,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LMA,14.385801027557216,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LDMC,0.14226327944572748,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,LWC,0.8577367205542725,FALSE
Ainsdale,CONT,22/05/2025,T1,EP,3,EWT,0.08673517048108362,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LMA,11.992337164750959,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LDMC,0.16010230179028134,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LWC,0.8398976982097186,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,EWT,0.06291187739463602,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LMA,15.415676959619955,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LDMC,0.18230337078651687,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LWC,0.8176966292134832,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,EWT,0.06914489311163896,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LMA,12.457142857142859,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LDMC,0.2,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,LWC,0.8,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,4,EWT,0.04982857142857144,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LMA,15.068027210884352,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LDMC,0.19954954954954954,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LWC,0.8004504504504504,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,EWT,0.06044217687074831,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LMA,13.080000000000002,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LDMC,0.18526912181303118,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LWC,0.8147308781869689,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,EWT,0.057519999999999995,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LMA,13.926553672316386,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LDMC,0.19034749034749035,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,LWC,0.8096525096525096,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,5,EWT,0.05923728813559322,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LMA,15.942720763723152,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LDMC,0.17305699481865283,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LWC,0.8269430051813471,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,EWT,0.07618138424821004,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LMA,16.026936026936028,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LDMC,0.17827715355805243,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LWC,0.8217228464419476,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,EWT,0.0738720538720539,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LMA,19.671052631578945,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LDMC,0.21666666666666665,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,LWC,0.7833333333333333,FALSE
Ainsdale,DIST,23/05/2025,T1,EP,6,EWT,0.07111842105263158,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LMA,18.34090909090909,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LDMC,0.20692307692307693,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LWC,0.7930769230769231,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,EWT,0.07029545454545455,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LMA,20.448,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LDMC,0.20031347962382445,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LWC,0.7996865203761755,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,EWT,0.081632,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LMA,17.252475247524753,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LDMC,0.19578651685393259,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,LWC,0.8042134831460674,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,1,EWT,0.07086633663366337,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,LMA,26.303030303030305,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,LDMC,0.18787878787878787,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,LWC,0.8121212121212121,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,LDMC,0.19213793103448276,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,LWC,0.8078620689655173,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,LMA,24.387755102040824,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,LDMC,0.2090379008746356,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,LWC,0.7909620991253643,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,2,EWT,0.09227891156462585,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LMA,18.952380952380953,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LDMC,0.1787425149700599,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LWC,0.8212574850299401,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,EWT,0.08707936507936508,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LMA,16.27314814814815,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LDMC,0.21764705882352942,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LWC,0.7823529411764706,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,EWT,0.05849537037037039,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LMA,14.838709677419354,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LDMC,0.17490494296577946,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,LWC,0.8250950570342205,FALSE
Ainsdale,CONT,20/06/2025,T2,EP,3,EWT,0.07000000000000002,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LMA,12.12653778558875,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LDMC,0.2218649517684887,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LWC,0.7781350482315113,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,EWT,0.042530755711775045,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LMA,11.843575418994412,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LDMC,0.21632653061224488,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LWC,0.7836734693877551,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,EWT,0.042905027932960894,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LMA,12.763157894736842,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LDMC,0.2282352941176471,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,LWC,0.7717647058823529,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,4,EWT,0.0431578947368421,FALSE
Ainsdale,DIST,20/06/2025,T2,EP,5,LMA,10.164609053497943,FALSE
