Site,Treatment,Date,Time_point,Species,Individual_nos,Width_1,Width_2,Height,Number_leaves,Repro_notes,Leaf_nos,Leaf_weight_wet_g ,Leaf_area_cm_2,Method_leaf_app,Spec_number,Spec_date,Spec_filename,Wet_chem_nos,Leaf_weight_dry_g,NOTES_1,NOTES_2,NOTES_3,NOTES_4,Demo_matched,
Ainsdale,CONT,11/07/2025,T3,MA,1,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.069,4.6,Leaf_scan,27,110725,HR.110725.0027.sig,10,0.0165,,,,,Block 1 / Plot 6 / MA03,
Ainsdale,CONT,11/07/2025,T3,MA,1,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.074,5.5,Leaf_scan,28,110725,HR.110725.0028.sig,10,0.0216,,,,,Block 1 / Plot 6 / MA03,
Ainsdale,CONT,11/07/2025,T3,MA,1,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.071,5.46,Leaf_scan,29,110725,HR.110725.0029.sig,10,0.0217,,,,,Block 1 / Plot 6 / MA03,
Ainsdale,CONT,11/07/2025,T3,MA,2,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.031,1.55,Leaf_scan,30,110725,HR.110725.0030.sig,11,0.0071,,,,,Block 2 / Plot 12 / MA03,
Ainsdale,CONT,11/07/2025,T3,MA,2,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.019,1.31,Leaf_scan,31,110725,HR.110725.0031.sig,11,0.0043,,,,,Block 2 / Plot 12 / MA03,
Ainsdale,CONT,11/07/2025,T3,MA,2,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.02,1.42,Leaf_scan,32,110725,HR.110725.0032.sig,11,0.0048,,,,,Block 2 / Plot 12 / MA03,
Ainsdale,CONT,11/07/2025,T3,MA,3,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.05,2.39,Leaf_scan,33,110725,HR.110725.0033.sig,12,0.0134,,,,,Block 3 / Plot 15 / MA01,
Ainsdale,CONT,11/07/2025,T3,MA,3,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.049,1.88,Leaf_scan,34,110725,HR.110725.0034.sig,12,0.0135,,,,,Block 3 / Plot 15 / MA01,
Ainsdale,CONT,11/07/2025,T3,MA,3,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.027,0.969,Image_J,35,110725,HR.110725.0035.sig,12,0.0072,,,,,Block 3 / Plot 15 / MA01,
Ainsdale,DIST,11/07/2025,T3,MA,4,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.087,3.498,Image_J,36,110725,HR.110725.0036.sig,13,0.0189,,,,,Block 1 / Plot 5 / MA01,
Ainsdale,DIST,11/07/2025,T3,MA,4,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.11,4.426,Image_J,37,110725,HR.110725.0037.sig,13,0.0262,,,,,Block 1 / Plot 5 / MA01,
Ainsdale,DIST,11/07/2025,T3,MA,4,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.067,NA,Image_J,38,110725,HR.110725.0038.sig,13,0.0139,Forgotten to take picture of leaf for image J,,,,Block 1 / Plot 5 / MA01,
Ainsdale,DIST,11/07/2025,T3,MA,5,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.051,2.452,Image_J,39,110725,HR.110725.0039.sig,14,0.0116,,,,,Block 2 / Plot 9 / MA02,
Ainsdale,DIST,11/07/2025,T3,MA,5,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.045,1.726,Image_J,40,110725,HR.110725.0040.sig,14,0.0091,,,,,Block 2 / Plot 9 / MA02,
Ainsdale,DIST,11/07/2025,T3,MA,5,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.045,2.356,Image_J,43,110725,HR.110725.0043.sig,14,0.0113,,,,,Block 2 / Plot 9 / MA02,
Ainsdale,DIST,11/07/2025,T3,MA,6,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.04,1.971,Image_J,45,110725,HR.110725.0045.sig,15,0.0082,,,,,Block 3 / Plot 13 / MA01,
Ainsdale,DIST,11/07/2025,T3,MA,6,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.029,1.346,Image_J,46,110725,HR.110725.0046.sig,15,0.0062,,,,,Block 3 / Plot 13 / MA01,
Ainsdale,DIST,11/07/2025,T3,MA,6,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.022,0.931,Image_J,47,110725,HR.110725.0047.sig,15,0.0054,,,,,Block 3 / Plot 13 / MA01,
Ainsdale,CONT,22/05/2025,T1,EP,1,NA,NA,24,NA,Cones present,L1,0.681,3.526,Image_J,53,220525,HR.220525.0053.sig,wet chem done separately,0.1231,,,,,,
Ainsdale,CONT,22/05/2025,T1,EP,1,NA,NA,24,NA,Cones present,L2,0.731,8.163,Image_J,54,220525,HR.220525.0054.sig,wet chem done separately,0.139,,,,,,
Ainsdale,CONT,22/05/2025,T1,EP,1,NA,NA,24,NA,Cones present,L3,0.763,8.005,Image_J,55,220525,HR.220525.0055.sig,wet chem done separately,0.1329,,,,,,
Ainsdale,CONT,22/05/2025,T1,EP,2,NA,NA,28,NA,Cones present,L1,0.368,3.855,Image_J,56,220525,HR.220525.0056.sig,wet chem done separately,0.09,,,,,,
Ainsdale,CONT,22/05/2025,T1,EP,2,NA,NA,28,NA,Cones present,L2,0.487,6.525,Image_J,57,220525,HR.220525.0057.sig,wet chem done separately,0.0828,,,,,,
Ainsdale,CONT,22/05/2025,T1,EP,2,NA,NA,28,NA,Cones present,L3,0.557,5.426,Image_J,59,220525,HR.220525.0059.sig,wet chem done separately,0.1152,,,,,,
Ainsdale,CONT,22/05/2025,T1,EP,3,NA,NA,33,NA,Cones present,L1,0.901,7.793,Image_J,60,220525,HR.220525.0060.sig,wet chem done separately,0.1568,,,,,,
Ainsdale,CONT,22/05/2025,T1,EP,3,NA,NA,33,NA,Cones present,L2,0.658,9.76,Image_J,61,220525,HR.220525.0061.sig,wet chem done separately,0.1387,,,,,,
Ainsdale,CONT,22/05/2025,T1,EP,3,NA,NA,33,NA,Cones present,L3,0.433,4.282,Image_J,62,220525,HR.220525.0062.sig,wet chem done separately,0.0616,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,4,NA,NA,21,NA,Cones present,L1,0.391,5.22,Leaf_scan,0,230525,HR.230525.0000.sig,1,0.0626,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,4,NA,NA,21,NA,Cones present,L2,0.356,4.21,Leaf_scan,1,230525,HR.230525.0001.sig,1,0.0649,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,4,NA,NA,21,NA,Cones present,L3,0.327,5.25,Leaf_scan,2,230525,HR.230525.0002.sig,1,0.0654,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,5,NA,NA,20,NA,Cones present,L1,0.222,2.94,Leaf_scan,3,230525,HR.230525.0003.sig,2,0.0443,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,5,NA,NA,20,NA,Cones present,L2,0.353,5,Leaf_scan,4,230525,HR.230525.0004.sig,2,0.0654,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,5,NA,NA,20,NA,Cones present,L3,0.259,3.54,Leaf_scan,5,230525,HR.230525.0005.sig,2,0.0493,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,6,NA,NA,23,NA,Cones present,L1,0.386,4.19,Leaf_scan,6,230525,HR.230525.0006.sig,3,0.0668,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,6,NA,NA,23,NA,Cones present,L2,0.267,2.97,Leaf_scan,7,230525,HR.230525.0007.sig,3,0.0476,,,,,,
Ainsdale,DIST,23/05/2025,T1,EP,6,NA,NA,23,NA,Cones present,L3,0.138,1.52,Leaf_scan,8,230525,HR.230525.0008.sig,3,0.0299,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,1,NA,NA,45,NA,Cones present,L1,0.39,4.4,Leaf_scan,54,220625,HR.220625.0054.sig,115,0.0807,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,1,NA,NA,45,NA,Cones present,L2,0.638,6.25,Leaf_scan,55,220625,HR.220625.0055.sig,115,0.1278,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,1,NA,NA,45,NA,Cones present,L3,0.356,4.04,Leaf_scan,56,220625,HR.220625.0056.sig,115,0.0697,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,2,NA,NA,31,NA,Cones present,L1,0.462,3.3,Leaf_scan,57,220625,HR.220625.0057.sig,116,0.0868,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,2,NA,NA,31,NA,Cones present,L2,0.725,4.09,Leaf_scan,58,220625,HR.220625.0058.sig,116,0.1393,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,2,NA,NA,31,NA,Cones present,L3,0.343,2.94,Leaf_scan,59,220625,HR.220625.0059.sig,116,0.0717,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,3,NA,NA,32,NA,Cones present,L1,0.334,3.15,Leaf_scan,60,220625,HR.220625.0060.sig,117,0.0597,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,3,NA,NA,32,NA,Cones present,L2,0.323,4.32,Leaf_scan,61,220625,HR.220625.0061.sig,117,0.0703,,,,,,
Ainsdale,CONT,20/06/2025,T2,EP,3,NA,NA,32,NA,Cones present,L3,0.263,3.1,Leaf_scan,62,220625,HR.220625.0062.sig,117,0.046,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,4,NA,NA,25,NA,Cones present,L1,0.311,5.69,Leaf_scan,63,220625,HR.220625.0063.sig,118,0.069,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,4,NA,NA,25,NA,Cones present,L2,0.196,3.58,Leaf_scan,64,220625,HR.220625.0064.sig,118,0.0424,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,4,NA,NA,25,NA,Cones present,L3,0.085,1.52,Leaf_scan,65,220625,HR.220625.0065.sig,118,0.0194,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,5,NA,NA,32,NA,Cones present,L1,0.123,2.43,Leaf_scan,66,220625,HR.220625.0066.sig,119,0.0247,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,5,NA,NA,32,NA,Cones present,L2,0.172,2.72,Leaf_scan,67,220625,HR.220625.0067.sig,119,0.0355,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,5,NA,NA,32,NA,Cones present,L3,0.141,1.62,Leaf_scan,68,220625,HR.220625.0068.sig,119,0.031,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,6,NA,NA,33,NA,Cones present,L1,0.215,2.92,Leaf_scan,69,220625,HR.220625.0069.sig,120,0.0459,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,6,NA,NA,33,NA,Cones present,L2,0.227,2.72,Leaf_scan,70,220625,HR.220625.0070.sig,120,0.0542,,,,,,
Ainsdale,DIST,20/06/2025,T2,EP,6,NA,NA,33,NA,Cones present,L3,0.319,3.14,Leaf_scan,71,220625,HR.220625.0071.sig,120,0.067,,,,,,
Ainsdale,CONT,11/07/2025,T3,EP,1,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.303,6.138,Image_J,66,110720,HR.110720.0066.sig,22,0.0621,,,Not sure if SVC over-heating - check readings,,Block 1 / Plot 6  / EP01,
Ainsdale,CONT,11/07/2025,T3,EP,1,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.369,3.764,Image_J,67,110720,HR.110720.0067.sig,22,0.0829,,,Not sure if SVC over-heating - check readings,,Block 1 / Plot 6  / EP01,
Ainsdale,CONT,11/07/2025,T3,EP,1,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.456,4.73,Image_J,68,110720,HR.110720.0068.sig,22,0.0874,,,Not sure if SVC over-heating - check readings,,Block 1 / Plot 6  / EP01,
Ainsdale,CONT,11/07/2025,T3,EP,2,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.379,3.447,Image_J,69,110720,HR.110720.0069.sig,23,0.0833,,,Not sure if SVC over-heating - check readings,,Block 2 / Plot 12 / EP03,
Ainsdale,CONT,11/07/2025,T3,EP,2,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.24,2.548,Image_J,70,110720,HR.110720.0070.sig,23,0.0533,,,Not sure if SVC over-heating - check readings,,Block 2 / Plot 12 / EP03,
Ainsdale,CONT,11/07/2025,T3,EP,2,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.29,3.123,Image_J,71,110720,HR.110720.0071.sig,23,0.0708,,,Not sure if SVC over-heating - check readings,,Block 2 / Plot 12 / EP03,
Ainsdale,CONT,11/07/2025,T3,EP,3,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.298,2.776,Image_J,72,110720,HR.110720.0072.sig,24,0.0672,,,Not sure if SVC over-heating - check readings,,Block 3 / Plot 5 / EP02,
Ainsdale,CONT,11/07/2025,T3,EP,3,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.418,4.1,Image_J,73,110720,HR.110720.0073.sig,24,0.0878,,,Not sure if SVC over-heating - check readings,,Block 3 / Plot 5 / EP02,
Ainsdale,CONT,11/07/2025,T3,EP,3,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.351,3.473,Image_J,74,110720,HR.110720.0074.sig,24,0.0724,,,Not sure if SVC over-heating - check readings,,Block 3 / Plot 5 / EP02,
Ainsdale,DIST,11/07/2025,T3,EP,4,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.261,14.355,Image_J,76,110720,HR.110720.0076.sig,25,0.051,,,Not sure if SVC over-heating - check readings,,Block 1 / Plot 5 / EP02,
Ainsdale,DIST,11/07/2025,T3,EP,4,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.249,2.45,Image_J,77,110720,HR.110720.0077.sig,25,0.0526,,,Not sure if SVC over-heating - check readings,,Block 1 / Plot 5 / EP02,
Ainsdale,DIST,11/07/2025,T3,EP,4,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.148,1.914,Image_J,78,110720,HR.110720.0078.sig,25,0.0342,,,Not sure if SVC over-heating - check readings,,Block 1 / Plot 5 / EP02,
Ainsdale,DIST,11/07/2025,T3,EP,5,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.172,5.296,Image_J,79,110720,HR.110720.0079.sig,26,0.042,,,Not sure if SVC over-heating - check readings,,Block 2 / Plot 5 / EP01,
Ainsdale,DIST,11/07/2025,T3,EP,5,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.281,3.231,Image_J,80,110720,HR.110720.0080.sig,26,0.0632,,,Not sure if SVC over-heating - check readings,no svc reading - ran out of battery,Block 2 / Plot 5 / EP01,
Ainsdale,DIST,11/07/2025,T3,EP,5,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.203,2.116,Image_J,NA,NA,NA,26,0.0498,,,Not sure if SVC over-heating - check readings,no svc reading - ran out of battery,Block 2 / Plot 5 / EP01,
Ainsdale,DIST,11/07/2025,T3,EP,6,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.194,1.939,Image_J,NA,NA,NA,27,0.0473,,,Not sure if SVC over-heating - check readings,no svc reading - ran out of battery,Block 3 / Plot 13 / EP02,
Ainsdale,DIST,11/07/2025,T3,EP,6,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.127,1.6,Image_J,NA,NA,NA,27,0.0339,,,Not sure if SVC over-heating - check readings,no svc reading - ran out of battery,Block 3 / Plot 13 / EP02,
Ainsdale,DIST,11/07/2025,T3,EP,6,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.097,1.653,Image_J,NA,NA,NA,27,0.0249,,,Not sure if SVC over-heating - check readings,no svc reading - ran out of battery,Block 3 / Plot 13 / EP02,
Ainsdale,CONT,22/05/2025,T1,SR,1,NA,NA,29,NA,None,L1,0.039,1.462,Image_J,43,220525,HR.220525.0043.sig,wet chem done separately,0.0167,,,no SR in DIST,,,
Ainsdale,CONT,22/05/2025,T1,SR,1,NA,NA,29,NA,None,L2,0.033,1.48,Image_J,44,220525,HR.220525.0044.sig,wet chem done separately,0.0161,,,no SR in DIST,,,
Ainsdale,CONT,22/05/2025,T1,SR,1,NA,NA,29,NA,None,L3,0.04,1.668,Image_J,45,220525,HR.220525.0045.sig,wet chem done separately,0.0153,,,no SR in DIST,,,
Ainsdale,CONT,22/05/2025,T1,SR,2,NA,NA,39,NA,Flowering,L1,0.008,0.529,Image_J,46,220525,HR.220525.0046.sig,wet chem done separately,0.0047,,,no SR in DIST,,,
Ainsdale,CONT,22/05/2025,T1,SR,2,NA,NA,39,NA,Flowering,L2,0.015,0.628,Image_J,47,220525,HR.220525.0047.sig,wet chem done separately,0.0073,,,no SR in DIST,,,
Ainsdale,CONT,22/05/2025,T1,SR,2,NA,NA,39,NA,Flowering,L3,0.013,0.564,Image_J,48,220525,HR.220525.0048.sig,wet chem done separately,0.0058,,,no SR in DIST,,,
Ainsdale,CONT,22/05/2025,T1,SR,3,NA,NA,49,NA,Flowering,L1,0.013,0.481,Image_J,49,220525,HR.220525.0049.sig,wet chem done separately,0.005,,,no SR in DIST,,,
Ainsdale,CONT,22/05/2025,T1,SR,3,NA,NA,49,NA,Flowering,L2,0.016,0.869,Image_J,50,220525,HR.220525.0050.sig,wet chem done separately,0.0087,,,no SR in DIST,,,
Ainsdale,CONT,22/05/2025,T1,SR,3,NA,NA,49,NA,Flowering,L3,0.014,0.621,Image_J,52,220525,HR.220525.0052.sig,wet chem done separately,0.0064,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,1,NA,NA,15,NA,None,L1,0.012,0.67,Leaf_scan,41,200625,HR.200625.0041.sig,112,0.0075,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,1,NA,NA,15,NA,None,L2,0.016,0.77,Leaf_scan,44,200625,HR.200625.0044.sig,112,0.0065,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,1,NA,NA,15,NA,None,L3,0.01,0.5,Leaf_scan,45,200625,HR.200625.0045.sig,112,0.0067,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,2,NA,NA,29,NA,None,L1,0.01,0.48,Leaf_scan,46,200625,HR.200625.0046.sig,113,0.0076,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,2,NA,NA,29,NA,None,L2,0.013,0.59,Leaf_scan,47,200625,HR.200625.0047.sig,113,0.0073,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,2,NA,NA,29,NA,None,L3,0.012,0.53,Leaf_scan,48,200625,HR.200625.0048.sig,113,0.0057,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,3,NA,NA,19,NA,None,L1,0.03,0.7,Leaf_scan,49,200625,HR.200625.0049.sig,114,0.0118,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,3,NA,NA,19,NA,None,L2,0.021,0.81,Leaf_scan,51,200625,HR.200625.0051.sig,114,0.0102,,,no SR in DIST,,,
Ainsdale,CONT,20/06/2025,T2,SR,3,NA,NA,19,NA,None,L3,0.016,0.66,Leaf_scan,52,200625,HR.200625.0052.sig,114,0.0091,,,no SR in DIST,,,
Ainsdale,CONT,11/07/2025,T3,SR,1,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.008,0.527,Image_J,0,110725,HR.110725.0000.sig,1,0.0058,,,no SR in DIST,,Block 1 / Plot 6 / SR03,
Ainsdale,CONT,11/07/2025,T3,SR,1,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.022,1.22,Leaf_scan,1,110725,HR.110725.0001.sig,1,0.0129,,,no SR in DIST,,Block 1 / Plot 6 / SR03,
Ainsdale,CONT,11/07/2025,T3,SR,1,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.014,0.579,Image_J,2,110725,HR.110725.0002.sig,1,0.007,,,no SR in DIST,,Block 1 / Plot 6 / SR03,
Ainsdale,CONT,11/07/2025,T3,SR,2,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.01,0.581,Image_J,3,110725,HR.110725.0003.sig,2,0.0052,,,no SR in DIST,,Block 1 / Plot 2 / SR02,
Ainsdale,CONT,11/07/2025,T3,SR,2,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.013,0.605,Image_J,4,110725,HR.110725.0004.sig,2,0.0051,,,no SR in DIST,,Block 1 / Plot 2 / SR02,
Ainsdale,CONT,11/07/2025,T3,SR,2,see demo data,see demo data,see demo data,see demo data,see demo data,L3,0.013,0.489,Image_J,5,110725,HR.110725.0005.sig,2,0.0049,,,no SR in DIST,,Block 1 / Plot 2 / SR02,
Ainsdale,CONT,11/07/2025,T3,SR,3,see demo data,see demo data,see demo data,see demo data,see demo data,L1,0.018,0.818,Image_J,6,110725,HR.110725.0006.sig,3,0.0087,,,no SR in DIST,,Block 2 / Plot 7 / SR02,
Ainsdale,CONT,11/07/2025,T3,SR,3,see demo data,see demo data,see demo data,see demo data,see demo data,L2,0.012,0.544,Image_J,7,110725,HR.110725.0007.sig,3,0.0065,,,no SR in DIST,,Block 2 / Plot 7 / SR02,
