Site,Treatment,Block,Plot_nos,Individual_nos,Species,Date,Time_point,Survival,SLA,LMA,LDMC,Height,Width_1,Width_2,,Leaves,Flower,RS,Seed,Notes_1,Notes_2,,Phenological stage,,R/N-R
Wytham,NPK,B,NA,2,BS,14/04/2025,April,yes,22.88389513,0.043698854,381.4285714,5,7,3,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,D,NA,1,BS,14/04/2025,April,yes,22.09677419,0.045255474,364.7058824,12,23,20,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,D,NA,2,BS,14/04/2025,April,yes,25.55555556,0.039130435,350,8,23,14,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,E,NA,1,BS,14/04/2025,April,yes,19.6345515,0.050930626,313.5416667,8,13,12,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,E,NA,2,BS,14/04/2025,April,yes,23.003663,0.043471338,401.4705882,8,22,14,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,A,NA,1,BS,14/04/2025,April,yes,24.83606557,0.040264026,435.7142857,15,30,22,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,A,NA,2,BS,14/04/2025,April,yes,30.56179775,0.032720588,386.9565217,9,18,10,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,D,NA,1,BS,14/04/2025,April,yes,20.71428571,0.048275862,321.3114754,5,15,11,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,D,NA,2,BS,14/04/2025,April,yes,27.79487179,0.03597786,382.3529412,12,25,18,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,E,NA,1,BS,14/04/2025,April,yes,25.72580645,0.038871473,387.5,17,26,26,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,E,NA,2,BS,14/04/2025,April,yes,25.39007092,0.039385475,414.7058824,7,11,12,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,B,NA,1,BS,14/04/2025,April,yes,30.13333333,0.033185841,468.75,8,18,16,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,B,NA,2,BS,14/04/2025,April,yes,28.59813084,0.03496732,411.5384615,6,33,30,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,E,NA,1,BS,14/04/2025,April,yes,28.92473118,0.034572491,387.5,7,8,6,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,E,NA,2,BS,14/04/2025,April,yes,32.74725275,0.030536913,413.6363636,8,16,15,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,A,NA,1,BS,07/05/2025,May,yes,46.40782123,0.021548092,662.962963,20,30,16,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,A,NA,2,BS,07/05/2025,May,yes,41.33128834,0.024194745,428.9473684,13,16,23,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,B,NA,1,BS,07/05/2025,May,yes,42.97761194,0.023267928,446.6666667,10,27,14,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,B,NA,2,BS,07/05/2025,May,yes,27.10526316,0.036893204,475,13,20,10,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,D,NA,1,BS,07/05/2025,May,yes,29.53787879,0.033854835,471.4285714,19,28,20,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,D,NA,2,BS,07/05/2025,May,yes,32.50833333,0.030761343,387.0967742,14,28,22,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,E,NA,1,BS,07/05/2025,May,yes,37.75,0.026490066,361.2903226,20,35,32,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,E,NA,2,BS,07/05/2025,May,yes,43.31395349,0.023087248,430,13,20,12,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,B,NA,1,BS,07/05/2025,May,yes,37.17730496,0.02689813,287.755102,14,12,18,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,B,NA,2,BS,07/05/2025,May,yes,35.40888889,0.028241496,340.9090909,5,6,7,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,D,NA,1,BS,07/05/2025,May,yes,33.56544503,0.029792544,347.2727273,8,30,23,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,D,NA,2,BS,07/05/2025,May,yes,37.27179487,0.026829939,423.9130435,17,31,29,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,A,NA,1,BS,07/05/2025,May,yes,20.68992248,0.048332709,326.5822785,15,18,21,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,A,NA,2,BS,07/05/2025,May,yes,19.97310513,0.050067328,298.540146,21,26,27,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,B,NA,1,BS,07/05/2025,May,yes,31.12068966,0.032132964,358.0246914,7,6,7,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,B,NA,2,BS,07/05/2025,May,yes,28.93719807,0.034557596,363.1578947,6,8,3,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,D,NA,1,BS,07/05/2025,May,yes,45.17948718,0.022133939,361.1111111,18,25,24,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,D,NA,2,BS,07/05/2025,May,yes,44.92413793,0.022259748,371.7948718,14,32,29,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,E,NA,1,BS,07/05/2025,May,yes,33.57216495,0.029786581,380.3921569,10,18,22,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,E,NA,2,BS,07/05/2025,May,yes,44.08898305,0.022681403,342.0289855,12,31,18,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,A,NA,1,BS,07/05/2025,May,yes,31.94170404,0.031307034,365.5737705,25,34,32,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,A,NA,2,BS,07/05/2025,May,yes,35.73096447,0.02798693,260.9271523,14,25,20,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,D,NA,1,BS,07/05/2025,May,yes,39.85211268,0.025092773,275.7281553,12,20,15,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,D,NA,2,BS,07/05/2025,May,yes,38.02489627,0.02629856,339.4366197,17,29,23,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,E,NA,1,BS,07/05/2025,May,yes,28.73714286,0.034798171,364.5833333,20,15,15,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_CESS,E,NA,2,BS,07/05/2025,May,yes,27.65517241,0.036159601,371.7948718,21,25,24,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,B,NA,1,BS,07/05/2025,May,yes,36.42758621,0.027451723,426.4705882,12,35,32,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,B,NA,2,BS,07/05/2025,May,yes,36.46875,0.027420737,376.4705882,14,26,22,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,E,NA,1,BS,07/05/2025,May,yes,27.13385827,0.036854324,373.5294118,5,15,10,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,E,NA,2,BS,07/05/2025,May,yes,37.68595041,0.026535088,384.1269841,9,24,14,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,A,NA,1,BS,03/06/2025,June,yes,29.61514196,0.03376651,360.2272727,30,20,16,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,A,NA,2,BS,03/06/2025,June,yes,14.03797468,0.071235347,400,24,27,23,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,B,NA,1,BS,03/06/2025,June,yes,28.57723577,0.034992888,372.7272727,27,25,20,,not_countable,8 x RS(NIF),8,None,,,,1,,Non-reproductive
Wytham,CONT,B,NA,2,BS,03/06/2025,June,yes,28.15406977,0.035518844,42.4691358,32,32,13,,not_countable,6 x RS(NIF),6,None,,,,1,,Non-reproductive
Wytham,CONT,D,NA,1,BS,03/06/2025,June,yes,28.71617162,0.034823583,398.6842105,27,28,25,,not_countable,12 x RS(NIF),12,None,,,,1,,Non-reproductive
Wytham,CONT,D,NA,2,BS,03/06/2025,June,yes,29.15837104,0.034295469,394.6428571,24,29,22,,not_countable,4 x RS(NIF),4,None,,,,1,,Non-reproductive
Wytham,CONT,E,NA,1,BS,03/06/2025,June,yes,NA,NA,NA,31,35,33,,not_countable,17 x RS(NIF),17,None,,,,1,,Non-reproductive
Wytham,CONT,E,NA,2,BS,03/06/2025,June,yes,NA,NA,NA,21,17,15,,not_countable,1 x RS(NIF),1,None,,,,1,,Non-reproductive
Wytham,DIST,B,NA,1,BS,03/06/2025,June,yes,NA,NA,NA,22,32,25,,not_countable,8 x RS(NIF),8,None,,,,1,,Non-reproductive
Wytham,DIST,B,NA,2,BS,03/06/2025,June,yes,34.75,0.028776978,376.4705882,24,32,30,,not_countable,10 x RS(NIF),10,None,,,,1,,Non-reproductive
Wytham,DIST,D,NA,1,BS,03/06/2025,June,yes,35.38341969,0.028261825,364.1509434,19,30,29,,not_countable,8 x RS(NIF),8,None,,,,1,,Non-reproductive
Wytham,DIST,D,NA,2,BS,03/06/2025,June,yes,34.78672986,0.028746594,376.7857143,29,30,28,,not_countable,13 x RS(NIF),13,None,,,,1,,Non-reproductive
Wytham,NPK,A,NA,1,BS,03/06/2025,June,yes,28.28698225,0.035351951,438.961039,28,24,21,,not_countable,6 x RS(NIF),6,None,,,,1,,Non-reproductive
Wytham,NPK,A,NA,2,BS,03/06/2025,June,yes,28.8487395,0.03466356,489.0410959,33,28,27,,not_countable,16 x RS(NIF),16,None,,,,1,,Non-reproductive
Wytham,NPK,B,NA,1,BS,03/06/2025,June,yes,34.57777778,0.028920308,388.8888889,8,11,9,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,B,NA,2,BS,03/06/2025,June,yes,20.56369427,0.048629394,410.4575163,14,10,2,,not_countable,1 x RS(NIF),1,None,,,,1,,Non-reproductive
Wytham,NPK,D,NA,1,BS,03/06/2025,June,yes,47.89247312,0.020880108,391.5789474,27,30,28,,not_countable,12 x RS(NIF),12,None,,,,1,,Non-reproductive
Wytham,NPK,D,NA,2,BS,03/06/2025,June,yes,27.63057325,0.036191793,416.8141593,21,30,22,,not_countable,5 x RS(NIF),5,None,,,,1,,Non-reproductive
Wytham,NPK,E,NA,1,BS,03/06/2025,June,yes,33.73493976,0.029642857,386.0465116,17,26,20,,not_countable,1 x RS(NIF),1,None,,,,1,,Non-reproductive
Wytham,NPK,E,NA,2,BS,03/06/2025,June,yes,25.59016393,0.039077514,381.25,30,32,25,,not_countable,7 x RS(NIF),7,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,A,NA,1,BS,03/06/2025,June,yes,30.0260223,0.033304445,455.9322034,38,43,32,,not_countable,19 x RS(NIF),19,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,A,NA,2,BS,03/06/2025,June,yes,28.41277641,0.035195434,423.9583333,38,30,20,,not_countable,13 x RS(NIF),13,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,D,NA,1,BS,03/06/2025,June,yes,27.64411765,0.036174061,447.3684211,21,24,23,,not_countable,4 x RS(NIF),4,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,D,NA,2,BS,03/06/2025,June,yes,32.46747967,0.03080005,396.7741935,23,24,21,,not_countable,4 x RS(NIF),4,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,E,NA,1,BS,03/06/2025,June,yes,29.88582677,0.033460677,423.3333333,24,19,17,,not_countable,1 x RS(NIF),1,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,E,NA,2,BS,03/06/2025,June,yes,29.35204082,0.034069181,478.0487805,32,33,32,,not_countable,19 x RS(NIF),19,None,,,,1,,Non-reproductive
Wytham,NPK_DIST,B,NA,1,BS,03/06/2025,June,yes,23.1091954,0.043272818,435,6,8,6,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,B,NA,2,BS,03/06/2025,June,yes,28.9327957,0.034562854,404.3478261,18,30,24,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,E,NA,1,BS,03/06/2025,June,yes,32.68725869,0.03059296,380.8823529,15,16,12,,not_countable,1 x RS(NIF),1,None,,,,1,,Non-reproductive
Wytham,NPK_DIST,E,NA,2,BS,03/06/2025,June,yes,33.89142857,0.029505985,372.3404255,15,30,17,,not_countable,1 x RS(NIF),1,None,,,,1,,Non-reproductive
Wytham,CONT,A,NA,1,BS,29/06/2025,July,yes,8.719211823,0.114689266,1015,40,23,13,,not_countable,None,None,10 x SH,,,,2,,Reproductive
Wytham,CONT,A,NA,2,BS,29/06/2025,July,yes,14.63687151,0.068320611,617.2413793,30,22,16,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,B,NA,1,BS,29/06/2025,July,yes,12.48091603,0.080122324,582.2222222,36,25,17,,not_countable,None,None,6 x SH,,,,2,,Reproductive
Wytham,CONT,B,NA,2,BS,29/06/2025,July,yes,14.10958904,0.070873786,534.1463415,45,17,15,,not_countable,None,None,12 x SH,,,,2,,Reproductive
Wytham,CONT,D,NA,1,BS,29/06/2025,July,yes,13.72093023,0.072881356,614.2857143,43,23,19,,not_countable,None,None,13 x SH,,,,2,,Reproductive
Wytham,CONT,D,NA,2,BS,29/06/2025,July,yes,12.39130435,0.080701754,634.4827586,33,21,19,,not_countable,None,None,2 x SH,,,,2,,Reproductive
Wytham,CONT,E,NA,1,BS,29/06/2025,July,yes,14.08805031,0.070982143,496.875,25,5,3,,not_countable,None,None,3 x SH,,,,2,,Reproductive
Wytham,CONT,E,NA,2,BS,29/06/2025,July,yes,16.48943662,0.060644886,579.5918367,32,7,8,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,B,NA,1,BS,29/06/2025,July,yes,17.66816143,0.056598985,506.8181818,52,23,19,,not_countable,None,None,6 x SH,,,,2,,Reproductive
Wytham,DIST,B,NA,2,BS,29/06/2025,July,yes,17.48717949,0.057184751,573.5294118,55,21,19,,not_countable,None,None,4 x SH,,,,2,,Reproductive
Wytham,DIST,D,NA,1,BS,29/06/2025,July,yes,22.30769231,0.044827586,510.7142857,23,17,12,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,D,NA,2,BS,29/06/2025,July,yes,14.87804878,0.067213115,565.5172414,55,24,20,,not_countable,None,None,15 x SH,,,,2,,Reproductive
Wytham,NPK,A,NA,1,BS,29/06/2025,July,yes,10.2991453,0.097095436,508.6956522,47,18,16,,not_countable,None,None,7 x SH,,,,2,,Reproductive
Wytham,NPK,A,NA,2,BS,29/06/2025,July,yes,9.867109635,0.101346801,590.1960784,49,25,22,,not_countable,None,None,21 x SH,,,,2,,Reproductive
Wytham,NPK,B,NA,1,BS,29/06/2025,July,no,14.69736842,0.068039391,633.3333333,Dead,Dead,Dead,,not_countable,None,None,Dead,,,,4,,Non-reproductive
Wytham,NPK,B,NA,2,BS,29/06/2025,July,no,15.91623037,0.062828947,545.7142857,Dead,Dead,Dead,,not_countable,None,None,Dead,,,,4,,Non-reproductive
Wytham,NPK,D,NA,1,BS,29/06/2025,July,yes,13.59756098,0.073542601,512.5,59,25,24,,not_countable,None,None,22 x SH,,,,2,,Reproductive
Wytham,NPK,D,NA,2,BS,29/06/2025,July,yes,12.75294118,0.078413284,653.8461538,36,28,22,,not_countable,None,None,14 x SH,,,,2,,Reproductive
Wytham,NPK,E,NA,1,BS,29/06/2025,July,yes,10.85714286,0.092105263,603.4482759,28,18,12,,not_countable,None,None,19 x SH,,,,2,,Reproductive
Wytham,NPK,E,NA,2,BS,29/06/2025,July,yes,10.20100503,0.098029557,641.9354839,34,28,19,,not_countable,None,None,15 x SH,,,,2,,Reproductive
Wytham,NPK_CESS,A,NA,1,BS,29/06/2025,July,yes,14.87012987,0.067248908,550,52,30,30,,not_countable,None,None,12 x SH,,,,2,,Reproductive
Wytham,NPK_CESS,A,NA,2,BS,29/06/2025,July,yes,13.69565217,0.073015873,467.7966102,57,29,25,,not_countable,None,None,6 x SH,,,,2,,Reproductive
Wytham,NPK_CESS,D,NA,1,BS,29/06/2025,July,yes,14.29508197,0.069954128,484.1269841,38,20,16,,not_countable,None,None,3 x SH,,,,2,,Reproductive
Wytham,NPK_CESS,D,NA,2,BS,29/06/2025,July,yes,9.049586777,0.110502283,576.1904762,39,29,18,,not_countable,None,None,21 x SH,,,,2,,Reproductive
Wytham,NPK_CESS,E,NA,1,BS,29/06/2025,July,yes,16.8558952,0.059326425,467.3469388,36,13,12,,not_countable,None,None,5 x SH,,,,2,,Reproductive
Wytham,NPK_CESS,E,NA,2,BS,29/06/2025,July,yes,10.36516854,0.096476965,574.1935484,42,30,28,,not_countable,None,None,18 x SH,,,,2,,Reproductive
Wytham,NPK_DIST,B,NA,1,BS,29/06/2025,July,yes,12.5498008,0.07968254,570.4545455,10,10,8,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK_DIST,B,NA,2,BS,29/06/2025,July,yes,14.10672854,0.070888158,513.0952381,17,12,14,,not_countable,None,None,2 x SH,,,,2,,Reproductive
Wytham,NPK_DIST,E,NA,1,BS,29/06/2025,July,no,13.30623306,0.075152749,512.5,Dead,Dead,Dead,,not_countable,None,None,Dead,,,,4,,Non-reproductive
Wytham,NPK_DIST,E,NA,2,BS,29/06/2025,July,yes,12.54019293,0.07974359,471.2121212,26,9,10,,not_countable,None,None,2 x SH,,,,2,,Reproductive
Wytham,CONT,A,NA,1,PV,14/04/2025,April,yes,22.6,0.044247788,180.1801802,3.5,5,4,,7,1 x EF (10) ; 1 x NEF,,None,,,,1,,Non-reproductive
Wytham,CONT,A,NA,2,PV,14/04/2025,April,yes,19.23976608,0.051975684,192.1348315,5.5,8,5,,9,1 x EF (2) ; 1 x NEF,,None,,,,1,,Non-reproductive
Wytham,CONT,B,NA,1,PV,14/04/2025,April,yes,22.61261261,0.044223108,194.7368421,1.5,5,5,,5,1 x NEB,,None,Never flowered,,,1,,Non-reproductive
Wytham,CONT,B,NA,2,PV,14/04/2025,April,yes,18.33333333,0.054545455,205.7142857,3,4,1.5,,4,1 x EF(7),,None,,,,1,,Non-reproductive
Wytham,CONT,B,NA,3,PV,14/04/2025,April,yes,23.35135135,0.042824074,194.7368421,NA,NA,NA,,NA,NA,,None,Never flowered,,,0,,Non-reproductive
Wytham,CONT,B,NA,4,PV,14/04/2025,April,yes,16.17760618,0.061813842,231.25,NA,NA,NA,,NA,NA,,None,,,,0,,Non-reproductive
Wytham,CONT,C,NA,1,PV,14/04/2025,April,yes,17.04081633,0.058682635,213.0434783,5,7,4,,6,None,,None,Never flowered,,,0,,Non-reproductive
Wytham,CONT,C,NA,2,PV,14/04/2025,April,yes,19.89473684,0.05026455,220.9302326,4.5,7,7,,8,1x EF(11); 1 x NEB,,None,Seeds partially eaten in T3,,,1,,Non-reproductive
Wytham,CONT,D,NA,1,PV,14/04/2025,April,yes,24.6875,0.040506329,213.3333333,4,5,6,,7,1x EF(8); 1 x NEB,,None,,,,1,,Non-reproductive
Wytham,CONT,D,NA,2,PV,14/04/2025,April,yes,14.91735537,0.067036011,249.4845361,2.5,5,5,,10,1 x NEB,,None,,,,1,,Non-reproductive
Wytham,CONT,D,NA,3,PV,14/04/2025,April,yes,19.26966292,0.051895044,282.5396825,6,5,4,,4.5,1 x EF(7),,None,,,,1,,Non-reproductive
Wytham,CONT,D,NA,4,PV,14/04/2025,April,yes,16.83823529,0.059388646,400,NA,NA,NA,,NA,NA,,None,Possibly missed in T1 as no data,,,0,,Non-reproductive
Wytham,DIST,A,NA,1,PV,14/04/2025,April,yes,14.9112426,0.067063492,206.8965517,4.5,7,5,,9,1 x EF,,None,,,,1,,Non-reproductive
Wytham,DIST,A,NA,2,PV,14/04/2025,April,yes,15.14925373,0.066009852,220.4225352,4,7,6,,10,1 x EF,,None,,,,1,,Non-reproductive
Wytham,DIST,B,NA,1,PV,14/04/2025,April,yes,9.60591133,0.104102564,213.4615385,7,3,3,,5,1 x EF(5),,None,,,,1,,Non-reproductive
Wytham,DIST,B,NA,2,PV,14/04/2025,April,yes,10.30769231,0.097014925,222.5,1,6,5,,5,1 x NEB,,None,,,,1,,Non-reproductive
Wytham,DIST,C,NA,1,PV,14/04/2025,April,yes,11.87165775,0.084234234,203.4482759,8,5,3,,7,1x EF(13); 1 x NEB,,None,,,,1,,Non-reproductive
Wytham,DIST,C,NA,2,PV,14/04/2025,April,yes,NA,NA,204,2,5,3,,4,1 x EF(8),,None,,,,1,,Non-reproductive
Wytham,DIST,D,NA,1,PV,14/04/2025,April,yes,14,0.071428571,216.6666667,6,8,6,,6,1x EF(13); 1 x NEB,,None,,,,1,,Non-reproductive
Wytham,DIST,D,NA,2,PV,14/04/2025,April,yes,13.03514377,0.076715686,246.6666667,3.5,5,5,,12,1x EF(16); 1 x NEB,,None,,,,1,,Non-reproductive
Wytham,DIST,D,NA,3,PV,14/04/2025,April,yes,11.98198198,0.083458647,274.137931,0.5,2,3,,4,None,,None,Never flowered,,,1,,Non-reproductive
Wytham,NPK,A,NA,1,PV,14/04/2025,April,yes,40.78651685,0.024517906,230.952381,NA,NA,NA,,NA,NA,,None,,,,0,,Non-reproductive
Wytham,NPK,A,NA,2,PV,14/04/2025,April,yes,NA,NA,200,NA,NA,NA,,NA,NA,,None,,,,0,,Non-reproductive
Wytham,NPK,B,NA,1,PV,14/04/2025,April,yes,25.42372881,0.039333333,204.3478261,3,4,4,,4,1 x NEB,,None,,,,1,,Non-reproductive
Wytham,NPK,B,NA,2,PV,14/04/2025,April,yes,24.11764706,0.041463415,198.6842105,1,3,3,,4,1 x NEB,,None,,,,1,,Non-reproductive
Wytham,NPK,B,NA,3,PV,14/04/2025,April,yes,23.84615385,0.041935484,1895.348837,1,4.5,4,,5,1 x EF(4),,None,Died in T2,,,4,,Non-reproductive
Wytham,NPK,B,NA,4,PV,14/04/2025,April,yes,13.24324324,0.075510204,240,NA,NA,NA,,NA,NA,,None,,,,0,,Non-reproductive
Wytham,NPK,C,NA,1,PV,14/04/2025,April,yes,16.03773585,0.062352941,178.4313725,4.5,6,6,,5,1 x EF(8),,None,,,,1,,Non-reproductive
Wytham,NPK,C,NA,2,PV,14/04/2025,April,yes,12.68292683,0.078846154,172.7272727,5,7,5,,5,1 x EF(6),,None,,,,1,,Non-reproductive
Wytham,NPK,C,NA,3,PV,14/04/2025,April,yes,13.96226415,0.071621622,193.0232558,4,4,3,,8,1 x EF(9),,None,,,,1,,Non-reproductive
Wytham,NPK,E,NA,1,PV,14/04/2025,April,yes,16.03448276,0.062365591,353.7313433,3.5,4,3,,5,1 x EF(6),,None,,,,1,,Non-reproductive
Wytham,NPK,E,NA,2,PV,14/04/2025,April,yes,18.88888889,0.052941176,108.0645161,7,7,6,,5,1 x EF(6),,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,A,NA,1,PV,14/04/2025,April,yes,15.96153846,0.062650602,156.4516129,8,7,3,,4,1 x EB; 1 x NEB,,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,A,NA,2,PV,14/04/2025,April,yes,12.3902439,0.080708661,163.7837838,5,8,4,,8,1 x EB; 1 x NEF (7),,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,B,NA,1,PV,14/04/2025,April,yes,17.14285714,0.058333333,198.2222222,6,3,2,,4,1 x EF(6),,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,B,NA,2,PV,14/04/2025,April,yes,13.68932039,0.073049645,200,7,5,4,,5,1 x EF(4),,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,B,NA,3,PV,14/04/2025,April,yes,13.43915344,0.074409449,176.4397906,2,3,2,,6,1 x EF(6),,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,D,NA,1,PV,14/04/2025,April,yes,9.655172414,0.103571429,192.1348315,4.5,5,5,,6,1x EF(9); 1 x NEB,,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,D,NA,2,PV,14/04/2025,April,yes,12.68041237,0.078861789,195.505618,3.5,5,4,,7,1x EF(10); 1 x NEB,,None,,,,1,,Non-reproductive
Wytham,NPK_CESS,E,NA,1,PV,14/04/2025,April,yes,17.38636364,0.05751634,200.8403361,5,5,5,,8,1x EF(5); 1 x NEB,,None,,,,1,,Non-reproductive
Wytham,NPK_DIST,A,NA,1,PV,14/04/2025,April,yes,13.36170213,0.074840764,202.5,6,5,5,,8,1 x EF (10) ,,None,,,,1,,Non-reproductive
Wytham,NPK_DIST,A,NA,2,PV,14/04/2025,April,yes,16.95364238,0.058984375,1871.287129,1.5,6,2.5,,6,1 x NEB,,None,,,,1,,Non-reproductive
Wytham,NPK_DIST,B,NA,1,PV,14/04/2025,April,yes,14.41717791,0.069361702,172.6315789,4,5,3,,7,1 x EF(10),,None,,,,1,,Non-reproductive
